rm_name,rm_type,lat,lng,source,beds,alt_name
Shree Gaun Pharka Rastria Pra.V,school,28.0840,85.2661,OSM infrastructure,,
Shree Bhimali Pra.V,school,28.1001,85.2785,OSM infrastructure,,
Shree Gyan Jyoti Pra. V,school,28.0924,85.3222,OSM infrastructure,,
Shree Haku Besi Ni.Ma.V,school,28.1146,85.2795,OSM infrastructure,,
Shree Haku Ma.V,school,28.1151,85.2636,OSM infrastructure,,
Shree Gosaikunda Pra.Vi,school,28.1232,85.2690,OSM infrastructure,,
Shree Pabarti kunda Pra.V,school,28.1295,85.2819,OSM infrastructure,,
Shree Sila Devi Pra.Vi,school,28.0007,85.2097,OSM infrastructure,,
Shree Bhubaneshwari Pra.V,school,28.0090,85.2000,OSM infrastructure,,
Shree Barahi Pra.V,school,27.9880,85.1884,OSM infrastructure,,
Shree komin Pra.V,school,28.1617,85.3322,OSM infrastructure,,
Shree Arunodaya Primary School,school,28.2286,85.3519,OSM infrastructure,,
Shree Nepal Rastriya Pra Vi,school,28.1969,85.3450,OSM infrastructure,,
Shree Grang Pra Vi,school,28.0571,85.2258,OSM infrastructure,,
Shree Temrang Pra Vi,school,28.0312,85.2208,OSM infrastructure,,
Shree Palep pra vi,school,28.0477,85.2190,OSM infrastructure,,
Shree Prangse Pra Vi,school,28.0087,85.2179,OSM infrastructure,,
Shree Lokil Pra Vi,school,28.0130,85.2350,OSM infrastructure,,
Shree Betang Pra Vi,school,28.0054,85.2387,OSM infrastructure,,
Shree kavre Pra Vi,school,28.0109,85.2085,OSM infrastructure,,
Shree Sundhara Uchha Ma Vi,school,27.9850,85.2097,OSM infrastructure,,
Shree kakara Devi Pra Vi,school,27.9800,85.2119,OSM infrastructure,,
Shree Suryodaya Pra. Vi.,school,27.9794,85.2229,OSM infrastructure,,
Shree Saraswoti Ni Ma V,school,28.0277,85.1796,OSM infrastructure,,
Shree Danda Gaun Ucha Ma. V,school,28.0379,85.1852,OSM infrastructure,,
Shree Dipendra Pra Vi,school,28.0474,85.1895,OSM infrastructure,,
Shree Panchelinge Ni.Ma.V,school,28.0615,85.1957,OSM infrastructure,,
Shree Ganesh Pra Vi,school,28.0713,85.1991,OSM infrastructure,,
Shree Bhume Devi Pra Vi,school,28.0860,85.1750,OSM infrastructure,,
Shree karumaryang Ni Ma Vi,school,28.0871,85.1911,OSM infrastructure,,
Shree Chipleti Pra Vi,school,28.0564,85.2082,OSM infrastructure,,
Shree Tiru Pra Vi,school,28.0907,85.2096,OSM infrastructure,,
Shree kalika Pra Vi,school,28.0877,85.2220,OSM infrastructure,,
Shree Simle Pra Vi,school,28.0298,85.1908,OSM infrastructure,,
Shree Janakalyan Pra Vi,school,27.9837,85.2593,OSM infrastructure,,
Shree Sivalaya Ni Ma.V,school,27.9835,85.1913,OSM infrastructure,,
Shree Nilkantha Namuna U.Ma.V,school,27.9936,85.2241,OSM infrastructure,,
Shree Manakamana Pra.V,school,27.9911,85.1983,OSM infrastructure,,
Shree Amarjyoti Pra.V,school,27.9882,85.1948,OSM infrastructure,,
Shree Bhimsensthan Pra.V,school,27.9850,85.1931,OSM infrastructure,,
Shree Semjong Pra V,school,28.0060,85.2605,OSM infrastructure,,
Shree Deurali pra V Sisneri,school,27.9889,85.2486,OSM infrastructure,,
Shree Jwalanukhi Ni Ma V,school,27.9855,85.2413,OSM infrastructure,,
Shree Suryodaya Pra V,school,27.9785,85.2383,OSM infrastructure,,
Shree Bageswori Ma Vi,school,27.9830,85.2543,OSM infrastructure,,
Shree Dupcheswori Ni Ma Vi,school,27.9971,85.2386,OSM infrastructure,,
Shree Deurali Gaunda Pra Vi,school,27.9874,85.2231,OSM infrastructure,,
Shree Chandika MA V,school,27.9248,85.6211,OSM infrastructure,,
Urken Snter Floling PRA V,school,27.9237,85.6187,OSM infrastructure,,
Shree Ganesh PRA V,school,27.9360,85.6281,OSM infrastructure,,
Bandevi Ma Vi,school,27.7777,85.7152,OSM infrastructure,,
Krishna Ni Ma Vi,school,27.7683,85.7239,OSM infrastructure,,
Siddhi Ganesh Uchha Ma V,school,27.7605,85.7041,OSM infrastructure,,
